trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",20,3,-28.717084746853025,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,5,24.133419441224852,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",20,10,14.543976272578067,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",25,13,-58.97144227341734,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",20,7,23.832257612206163,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,10,-50.03529967636435,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",30,8,27.91260754266628,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",35,24,-22.30024087235779,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",25,0,0.6025397206411887,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,0,-72.68095625363779,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",25,10,11.318570325064355,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,0,28.808267882340285,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",25,6,9.778643555819498,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,10,12.195283261097792,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",25,6,-35.32498513757413,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",30,8,6.069939553861872,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",20,6,-72.66718059569688,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,0,-6.838314499055932,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",20,6,-51.50988413575436,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,0,-23.869490972009626,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",30,23,13.797004965713226,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",20,9,21.77843501158874,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",25,14,-5.852287963634053,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",30,14,4.313429920534854,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",25,19,10.598338401087899,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,9,23.8834413993058,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",25,13,-38.97456874780507,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,4,20.03281071266585,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",20,11,7.729797145782349,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,0,-23.45783644061042,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,14,13.012000712614114,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",20,0,13.655419095237608,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",20,0,-16.630737398663108,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,11,3.6304426610797313,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",25,18,-35.32337715194548,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",30,8,27.119363268142056,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",25,7,21.15550611132261,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,14,10.727673354974531,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",30,16,-18.65473125555579,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",25,14,20.114635042540343,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",25,11,23.7184646967199,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,12,15.025765211698584,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",20,6,10.772611181929385,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",30,16,20.22416799820279,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",25,16,17.235187953274917,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",25,5,29.37249428501756,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",35,16,-9.603320439773038,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",35,18,33.43071017404747,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",25,12,19.47269476209514,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",20,12,13.959402345662395,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",20,7,14.846270758633366,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",20,11,-15.87890760886694,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",20,13,12.735359177950539,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",35,27,14.308341699273182,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",35,8,36.13053847530917,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
